storativity,young\_modulus,init\_stress\_x,init\_stress\_y,perm\_kr,perm\_km,perm\_beta,perm\_gamma
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0908374670363855e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,126303068693.41159,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,57207702.68809867,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7321258.05970661,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.3549679642422248e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,7.735635840648768e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,4.052660166067546e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.529685539809678e-07
9.783549625410251e-08,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,118207371555.31665,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56368297.981092304,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,6815683.91524799,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2287516805378116e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,3.3765199107437304e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.6626340947310245e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,2.731061463350687e-07
1.2033199715317456e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,134398765831.50655,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,58047107.39510503,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7826832.2041652305,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.481184247946638e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,1.2094751770553805e-17,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,4.442686237404067e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,4.3283096162686694e-07
8.65872458045665e-08,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,110111674417.2217,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,55528893.27408595,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,6310109.770789369,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.1025353968333984e-21,5.556077875696249e-18,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,-9.825960191613067e-19,3.8576471303992853e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.2726080233945034e-07,3.1303735015801826e-07
1.0345962147887053e-07,122255220124.36412,56788000.33459549,7068470.9874773,1.2918598223900182e-21,5.556077875696249e-18,3.8576471303992853e-07,1.9324373868916955e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0655628710727339e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,119593156390.95769,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,55290713.76363539,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7510100.350248021,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.4492449834902404e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,4.231852344850092e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,4.059987333487019e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,4.1461679452805295e-07
9.530803665773736e-08,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,111497459252.86275,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54451309.056629024,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7004526.205789401,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3230286997858272e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,-1.2726358505494485e-19,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.669961262150497e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.347543868821538e-07
1.1780453755680942e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,127688853529.05264,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,56130118.47064175,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,8015674.494706642,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.5754612671946536e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,8.590968274755129e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,4.45001340482354e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,4.944792021739521e-07
8.405978620820132e-08,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,103401762114.76779,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,53611904.34962267,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,6498952.06133078,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.196812416081414e-21,2.0522943798975737e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,-4.486379514959982e-18,3.864974297818758e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.279935190813976e-07,3.746855907051034e-07
1.0093216188250537e-07,115545307821.91022,54871011.41013221,7257313.278018711,1.3861368416380338e-21,2.0522943798975737e-18,3.864974297818758e-07,2.5489197923625465e-07
